萩;萩[はぎ]
藝;藝[げい]
薙ぐ;薙[な]ぐ
薙刀;薙刀[なぎなた]
神薙ぎ;神薙[かんな]ぎ
薙ぎ倒す;薙ぎ倒[なぎたお]す
蓑;蓑[みの]
隠れ蓑;隠れ蓑[かくれみの]
苔;苔[こけ]
海苔;海苔[のり]
放蕩;放蕩[ほうとう]
放蕩息子;放蕩[ほうとう] 息子[むすこ]
蔓延る;蔓延[はびこ]る
蓮;蓮[はちす]
芙蓉;芙蓉[ふよう]
芙蓉峰;芙蓉峰[ふようほう]
芙蓉;芙蓉[ふよう]
芙蓉峰;芙蓉峰[ふようほう]
蘭;蘭[らん]
和蘭;和蘭[オランダ]
蘭国;蘭[らん] 国[こく]
仏蘭西;仏蘭西[ふらんす]
愛蘭;愛蘭[あいるらんど]
芦;芦[あし]
薯;薯[いも]
菖蒲;菖蒲[しょうぶ]
芭蕉;芭蕉[ばしょう]
蕎麦;蕎麦[そば]
蕗;蕗[ふき]
茄子;茄子[なす]
蔭;蔭[かげ]
お蔭様で;お 蔭様[かげさま]で
芥;芥[ごみ]
芥子;芥子[からし]
芥川;芥川[あくたがわ]
萌え;萌[も]え
萌芽;萌芽[ほうが]
萌やし;萌[も]やし
葡萄;葡萄[ぶどう]
葡萄牙;葡萄牙[ポルトガル]
葡萄;葡萄[ぶどう]
蘇える;蘇[よみが]える
紫蘇;紫蘇[しそ]
蘇維埃;蘇維埃[ソビエト]
お屠蘇;お 屠蘇[とそ]
耶蘇教;耶蘇教[やそきょう]
心配蘇生法;心配[しんぱい] 蘇生[そせい]法[ほう]
蕃;蕃[しげる]
苓;苓
菰;菰[こも]
蒙る;蒙[こうむ]る
啓蒙;啓蒙[けいもう]
蒙昧;蒙昧[もうまい]
蒙古古];蒙古[蒙[こうむ] 古]
茅葺;茅[かや]葺[ぶき]
茅屋;茅屋[ぼうおく]
茅蜩;茅蜩[ひぐらし]
苅る;苅[か]る
葱;葱[ねぎ]
浅葱;浅葱[あさつき]
葵;葵[あおい]
山葵;山葵[わさび]
向日葵;向日葵[ひまわり]
葺く;葺[ふ]く
