厳しい;厳[きび]しい
母;母[はは]
叔母;叔母[おば]
母国語;母国語[ぼこくご]
乳母車;乳母車[うばぐるま]
母胎;母胎[ぼたい]
受胎;受胎[じゅたい]
毎に;毎[ごと]に
毎日;毎日[まいにち]
毒;毒[どく]
毒殺;毒殺[どくさつ]
気の毒;気の毒[きのどく]
比べる;比[くら]べる
比較;比較[ひかく]
比較;比較[ひかく]
毛;毛[け]
不毛;不毛[ふもう]
眉毛;眉毛[まゆげ]
毛布;毛布[もうふ]
羊毛;羊毛[ようもう]
髪の毛;髪の毛[かみのけ]
氏;氏[うじ]
~氏;~氏[し]
彼氏;彼氏[かれし]
指名;指名[しめい]
摂氏;摂氏[せっし]
民;民[みん]
民族;民族[みんぞく]
国民;国民[こくみん]
民俗;民俗[みんぞく]
庶民;庶民[しょみん]
自民党;自民党[じみんとう]
民主党;民主党[みんしゅとう]
民主党;民主党[みんしゅとう]
自民党;自民党[じみんとう]
気;気[き]
気候;気候[きこう]
天候;天候[てんこう]
候補;候補[こうほ]
兆候;兆候[ちょうこう]
症候;症候[しょうこう]
氷;氷[こおり]
氷山;氷山[ひょうざん]
永い;永[なが]い
永遠;永遠[えいえん]
氾濫;氾濫[はんらん]
氾濫;氾濫[はんらん]
濫用;濫用[らんよう]
汁;汁[しる]
味噌汁;味噌汁[みそしる]
果汁;果汁[かじゅう]
求める;求[もと]める
要求;要求[ようきゅう]
欲求;欲求[よっきゅう]
請求;請求[せいきゅう]
汎;汎[はん]
汎用;汎用[はんよう]
汐;汐[しお]
潮汐;潮汐[ちょうせき]
汗;汗[あせ]
冷汗;冷汗[れいかん]
冷や汗;冷や汗[ひやあせ]
汚い;汚[きたな]い
汚れる;汚[よご]れる
汚水;汚水[おすい]
汚染;汚染[おせん]
汚職;汚職[おしょく]
江;江[こう]
江戸;江戸[えど]
堀江;堀江[ほりえ]
池;池[いけ]
電池;電池[でんち]
池畔;池畔[ちはん]
決める;決[き]める
決まる;決[き]まる
決して;決[けっ]して
解決;解決[かいけつ]
決定;決定[けってい]
汽車;汽車[きしゃ]
汽笛;汽笛[きてき]
汽船;汽船[きせん]
沈む;沈[しず]む
沈黙;沈黙[ちんもく]
沈没;沈没[ちんぼつ]
沈没;沈没[ちんぼつ]
沖;沖[おき]
沖縄;沖縄[おきなわ]
沢;沢[さわ]
光沢;光沢[こうたく]
贅沢;贅沢[ぜいたく]
沢山;沢山[だくさん]
沼沢;沼沢[しょうたく]
倉沢;倉沢[くらさわ]
沫;沫[あわ]
泡沫;泡沫[ほうまつ]
河;河[かわ]
河川;河川[かせん]
河畔;河畔[かはん]
湖畔;湖畔[こはん]
池畔;池畔[ちはん]
沸く;沸[わ]く
沸騰;沸騰[ふっとう]
湯沸かし器;湯沸かし器[ゆわかしき]
沸騰;沸騰[ふっとう]
急騰;急騰[きゅうとう]
騰貴;騰貴[とうき]
油;油[あぶら]
油脂;油脂[ゆし]
石油;石油[せきゆ]
油断;油断[ゆだん]
治まる;治[おさ]まる
政治;政治[せいじ]
治る;治[なお]る
治療;治療[ちりょう]
沼;沼[ぬま]
沼沢;沼沢[しょうたく]
湖沼;湖沼[こしょう]
沿;沿[そう]
沿い;沿[ぞ]い
沿って;沿[そ]って
沿線;沿線[えんせん]
況して;況[ま]して
状況;状況[じょうきょう]
泉;泉[いずみ]
温泉;温泉[おんせん]
泊る;泊[とま]る
宿泊;宿泊[しゅくはく]
一泊;一泊[いっぱく]
淡泊;淡泊[たんぱく]
法廷;法廷[ほうてい]
法律;法律[ほうりつ]
韻律;韻律[いんりつ]
規律;規律[きりつ]
法曹;法曹[ほうそう]
泡;泡[あわ]
泡;泡[あぶく]
気泡;気泡[きほう]
発砲;発砲[はっぽう]
波;波[なみ]
波浪;波浪[はろう]
津波;津波[つなみ]
波浪;波浪[はろう]
浪人;浪人[ろうにん]
放浪;放浪[ほうろう]
泣く;泣[な]く
号泣;号泣[ごうきゅう]
泥;泥[どろ]
泥棒;泥棒[どろぼう]
雲泥の差;雲泥の差[うんでいのさ]
注ぐ;注[そそ]ぐ
注ぐ;注[つ]ぐ
注意;注意[ちゅうい]
注目;注目[ちゅうもく]
注文;注文[ちゅうもん]
泳ぐ;泳[およ]ぐ
水泳;水泳[すいえい]
洋式;洋式[ようしき]
洗う;洗[あら]う
洗濯;洗濯[せんたく]
洗濯;洗濯[せんたく]
洞;洞[ほら]
空洞;空洞[くうどう]
洞窟;洞窟[どうくつ]
津波;津波[つなみ]
洪水;洪水[こうずい]
活躍;活躍[かつやく]
活動;活動[かつどう]
生活;生活[せいかつ]
派;派[は]
右派;右派[うは]
派手;派手[はで]
党派;党派[とうは]
派遣;派遣[はけん]
派閥;派閥[はばつ]
派遣;派遣[はけん]
気遣い;気遣[きづか]い
小遣い;小遣[こづか]い
無駄遣い;無駄遣[むだづか]い
流す;流[なが]す
流れる;流[なが]れる
流行;流行[りゅうこう]
漂流者;漂流者[ひょうりゅうしゃ]
浅い;浅[あさ]い
浅見;浅見[せんけん]
浜;浜[はま]
浜辺;浜辺[はまべ]
海浜;海浜[かいひん]
浦;浦[うら]
浮かぶ;浮[う]かぶ
浮気;浮気[うわき]
浮沈;浮沈[ふちん]
浮世絵;浮世絵[うきよえ]
浴びる;浴[あ]びる
浴室;浴室[よくしつ]
浴衣;浴衣[ゆかた]
浴槽;浴槽[よくそう]
海;海[うみ]
海賊;海賊[かいぞく]
海峡;海峡[かいきょう]
峡谷;峡谷[きょうこく]
浸る;浸[ひた]る
浸す;浸[ひた]す
浸水;浸水[しんすい]
浸透;浸透[しんとう]
消す;消[け]す
消える;消[き]える
消化;消化[しょうか]
消費;消費[しょうひ]
消耗;消耗[しょうもう]
心神耗弱;心神耗弱[しんしんこうじゃく]
涙;涙[なみだ]
感涙;感涙[かんるい]
催涙;催涙[さいるい]
液;液[えき]
液体;液体[えきたい]
血液;血液[けつえき]
液晶;液晶[えきしょう]
結晶;結晶[けっしょう]
水晶;水晶[すいしょう]
涼しい;涼[すず]しい
涼風;涼風[すずかぜ]
淑やか;淑[しと]やか
淑女;淑女[しゅくじょ]
淡い;淡[あわ]い
淡々;淡々[たんたん]
淡泊;淡泊[たんぱく]
濃淡;濃淡[のうたん]
淫;淫[いん]
淫ら;淫[みだ]ら
淫具;淫具[いんぐ]
深い;深[ふか]い
深まる;深[ふか]まる
深夜;深夜[しんや]
深刻;深刻[しんこく]
混ぜる;混[ま]ぜる
混乱;混乱[こんらん]
添える;添[そ]える
添付;添付[てんぷ]
清い;清[きよ]い
清らか;清[きよ]らか
清々しい;清々[すがすが]しい
清潔;清潔[せいけつ]
清新;清新[せいしん]
清浄;清浄[せいじょう]
渇く;渇[かわ]く
渇望;渇望[かつぼう]
済む;済[す]む
済ます;済[す]ます
経済;経済[けいざい]
渉る;渉[わた]る
交渉;交渉[こうしょう]
渋い;渋[しぶ]い
渋る;渋[しぶ]る
渋滞;渋滞[じゅうたい]
苦渋;苦渋[くじゅう]
渋面;渋面[じゅうめん]
渋滞;渋滞[じゅうたい]
滞在;滞在[たいざい]
渓谷;渓谷[けいこく]
雪渓;雪渓[せっけい]
渓流;渓流[けいりゅう]
渚;渚[なぎさ]
減る;減[へ]る
減らす;減[へ]らす
削減;削減[さくげん]
加減;加減[かげん]
渡る;渡[わた]る
渡す;渡[わた]す
渡来;渡来[とらい]
過渡;過渡[かと]
譲渡;譲渡[じょうと]
渦;渦[うず]
渦中;渦中[かちゅう]
渦巻き;渦巻[うずま]き
温かい;温[あたた]かい
温度;温度[おんど]
温和;温和[おんわ]
測る;測[はか]る
予測;予測[よそく]
港;港[みなと]
空港;空港[くうこう]
港湾;港湾[こうわん]
香港;香港[ほんこん]
湖;湖[みずうみ]
湖沼;湖沼[こしょう]
琵琶湖;琵琶湖[びわこ]
湧く;湧[わ]く
湧水;湧水[ゆうすい]
湾;湾[わん]
台湾;台湾[たいわん]
湿る;湿[しめ]る
湿度;湿度[しつど]
湿気;湿気[しっけ]
満ちる;満[み]ちる
満たす;満[み]たす
不満;不満[ふまん]
満員;満員[まんいん]
肥満;肥満[ひまん]
満足;満足[まんぞく]
満悦;満悦[まんえつ]
源;源[みなもと]
起源;起源[きげん]
資源;資源[しげん]
準備;準備[じゅんび]
基準;基準[きじゅん]
準急;準急[じゅんきゅう]
溝;溝[みぞ]
開講;開講[かいこう]
溶ける;溶[と]ける
溶液;溶液[ようえき]
溶解炉;溶解炉[ようかいろ]
溺れる;溺[おぼ]れる
滅ぼす;滅[ほろ]ぼす
滅びる;滅[ほろ]びる
滅亡;滅亡[めつぼう]
滋養;滋養[じよう]
滑る;滑[すべ]る
滑らか;滑[なめ]らか
滑り;滑[すべ]り
円滑;円滑[えんかつ]
滑稽;滑稽[こっけい]
滝;滝[たき]
滝川;滝川[たきかわ]
滝口;滝口[たきぐち]
滴;滴[しずく]
水滴;水滴[すいてき]
漁;漁[りょう]
漁る;漁[あさ]る
漁業;漁業[ぎょぎょう]
漁師;漁師[りょうし]
漂う;漂[ただよ]う
漂流;漂流[ひょうりゅう]
漂流者;漂流者[ひょうりゅうしゃ]
漂白;漂白[ひょうはく]
漆;漆[うるし]
漆器;漆器[しっき]
漆黒;漆黒[しっこく]
漏る;漏[も]る
漏らす;漏[も]らす
漏れる;漏[も]れる
雨漏り;雨漏[あまも]り
漏水;漏水[ろうすい]
漏出;漏出[ろうしゅつ]
演じる;演[えん]じる
演奏;演奏[えんそう]
演歌;演歌[えんか]
演技;演技[えんぎ]
出演;出演[しゅつえん]
漕ぐ;漕[こ]ぐ
漢字;漢字[かんじ]
巨漢;巨漢[きょかん]
痴漢;痴漢[ちかん]
漢文;漢文[かんぶん]
漫画;漫画[まんが]
漫才;漫才[まんざい]
漬ける;漬[つ]ける
漬物;漬物[つけもの]
漸く;漸[ようや]く
漸進;漸進[ぜんしん]
漸次;漸次[ぜんじ]
漸減;漸減[ぜんげん]
潔い;潔[いさぎよ]い
不潔;不潔[ふけつ]
高潔;高潔[こうけつ]
清潔;清潔[せいけつ]
廉潔;廉潔[れんけつ]
潜る;潜[もぐ]る
潜る;潜[くぐ]る
潜む;潜[ひそ]む
潜水;潜水[せんすい]
潟;潟[かた]
干潟;干潟[ひがた]
新潟;新潟[にいがた]
潤む;潤[うる]む
潤う;潤[うるお]う
潤す;潤[うるお]す
潤色;潤色[じゅんしょく]
潮;潮[しお]
満潮;満潮[まんちょう]
潮流;潮流[ちょうりゅう]
潰す;潰[つぶ]す
潰れる;潰[つぶ]れる
潰瘍;潰瘍[かいよう]
腫瘍;腫瘍[しゅよう]
澄む;澄[す]む
澄める;澄[す]める
清澄;清澄[せいちょう]
激しい;激[はげ]しい
感激;感激[かんげき]
濁す;濁[にご]す
濁り;濁[にご]り
濁点;濁点[だくてん]
汚濁;汚濁[おだく]
濃い;濃[こ]い
濃紺;濃紺[のうこん]
濃淡;濃淡[のうたん]
瀬;瀬[せ]
瀬戸物;瀬戸物[せともの]
灯;灯[あかり]
灯;灯[ひ]
灯す;灯[とも]す
電灯;電灯[でんとう]
炉心;炉心[ろしん]
暖炉;暖炉[だんろ]
原子炉;原子炉[げんしろ]
溶解炉;溶解炉[ようかいろ]
炊く;炊[た]く
炊事;炊事[すいじ]
炎;炎[ほのお]
炎症;炎症[えんしょう]
脊髄炎;脊髄炎[せきずいえん]
炭;炭[すみ]
炭素;炭素[たんそ]
点;点[てん]
点く;点[つ]く
為;為[ため]
為替;為替[かわせ]
行為;行為[こうい]
無為;無為[むい]
烏;烏[からす]
烏賊;烏賊[いか]
烏賊;烏賊[いか]
海賊;海賊[かいぞく]
盗賊;盗賊[とうぞく]
無い;無[な]い
無茶苦茶;無茶苦茶[むちゃくちゃ]
ご無沙汰;ご無沙汰[ぶさた]
無言;無言[むごん]
詮無い;詮無[せんな]い
皆無;皆無[かいむ]
無知;無知[むち]
無恥;無恥[むち]
無償;無償[むしょう]
無尽蔵;無尽蔵[むじんぞう]
無視;無視[むし]
無糖;無糖[むとう]
無料;無料[むりょう]
無線;無線[むせん]
無縁;無縁[むえん]
無精;無精[ぶしょう]
無難;無難[ぶなん]
無闇に;無闇[むやみ]に
無謀;無謀[むぼう]
無駄遣い;無駄遣[むだづか]い
無視;無視[むし]
視線;視線[しせん]
視察;視察[しさつ]
焦る;焦[あせ]る
焦げる;焦[こ]げる
焦燥;焦燥[しょうそう]
恋焦[こ]がれる;恋[こい]焦[こ]がれる
焼く;焼[や]く
燃焼;燃焼[ねんしょう]
焼酎;焼酎[しょうちゅう]
酎ハイ;酎[ちゅう]ハイ
煎じる;煎[せん]じる
お煎餅;お煎餅[おせんべい]
煎茶;煎茶[せんちゃ]
煙;煙[けむり]
煙る;煙[けむ]る
煙草;煙草[たばこ]
喫煙;喫煙[きつえん]
禁煙;禁煙[きんえん]
照らす;照[て]らす
照明;照明[しょうめい]
煩い;煩[うるさ]い
煩わしい;煩[わずら]わしい
煩雑;煩雑[はんざつ]
煮る;煮[に]る
煮物;煮物[にもの]
熊;熊[くま]
熱い;熱[あつ]い
熱;熱[ねつ]
情熱;情熱[じょうねつ]
熱心;熱心[ねっしん]
熱湯;熱湯[ねっとう]
耐熱;耐熱[たいねつ]
燃える;燃[も]える
燃やす;燃[も]やす
燃料;燃料[ねんりょう]
燥ぐ;燥[はしゃ]ぐ
乾燥;乾燥[かんそう]
爆弾;爆弾[ばくだん]
原爆;原爆[げんばく]
爆発;爆発[ばくはつ]
爪;爪[つめ]
父;父[ちち]
お父さん;お父[とう]さん
伯父;伯父[おじ]
叔父;叔父[おじ]
義父;義父[ぎふ]
祖父;祖父[そふ]
爽やか;爽[さわ]やか
片;片[かた]
破片;破片[はへん]
断片;断片[だんぺん]
版;版[ばん]
初版;初版[しょはん]
凸版印刷;凸版印刷[とっぱんいんさつ]
出版;出版[しゅっぱん]
版権;版権[はんけん]
牛;牛[うし]
牛肉;牛肉[ぎゅうにく]
牧場;牧場[ぼくじょう]
牧場;牧場[まきば]
物;物[もの]
博物館;博物館[はくぶつかん]
刃物;刃物[はもの]
物語;物語[ものがたり]
建物;建物[たてもの]
獲物;獲物[えもの]
怪物;怪物[かいぶつ]
物置;物置[ものおき]
穀物;穀物[こくもつ]
化け物;化け物[ばけもの]
貨物;貨物[かもつ]
荷物;荷物[にもつ]
特に;特[とく]に
特性;特性[とくせい]
特徴;特徴[とくちょう]
徴候;徴候[ちょうこう]
象徴;象徴[しょうちょう]
特赦;特赦[とくしゃ]
容赦;容赦[ようしゃ]
恩赦;恩赦[おんしゃ]
犠牲;犠牲[ぎせい]
犠牲;犠牲[ぎせい]
犠牲者;犠牲者[ぎせいしゃ]
犬;犬[いぬ]
野犬;野犬[やけん]
犯す;犯[おか]す
犯罪;犯罪[はんざい]
犯行;犯行[はんこう]
犯人;犯人[はんにん]
状態;状態[じょうたい]
状況;状況[じょうきょう]
召喚状;召喚状[しょうかんじょう]
狂う;狂[くる]う
狂気;狂気[きょうき]
狂乱;狂乱[きょうらん]
狙い;狙[ねら]い
狙う;狙[ねら]う
狩る;狩[か]る
狩猟;狩猟[しゅりょう]
独り;独[ひと]り
孤独;孤独[こどく]
独逸;独逸[どいつ]
狭い;狭[せま]い
狭まる;狭[せば]まる
狭める;狭[せば]める
偏狭;偏狭[へんきょう]
猛烈;猛烈[もうれつ]
強烈;強烈[きょうれつ]
猛烈;猛烈[もうれつ]
猛暑;猛暑[もうしょ]
猛威;猛威[もうい]
猟;猟[りょう]
猟師;猟師[りょうし]
狩猟;狩猟[しゅりょう]
猪;猪[いのしし]
猫;猫[ねこ]
献金;献金[けんきん]
貢献;貢献[こうけん]
猶予;猶予[ゆうよ]
猿;猿[さる]
獣;獣[けもの・けだもの]
野獣;野獣[やじゅう]
怪獣;怪獣[かいじゅう]
獲物;獲物[えもの]
獲得;獲得[かくとく]
玄人;玄人[くろうと]
玄関;玄関[げんかん]
玄米;玄米[げんまい]
率;率[りつ]
率いる;率[ひき]いる
確率;確率[かくりつ]
軽率;軽率[けいそつ]
倍率;倍率[ばいりつ]
玉;玉[たま]
目玉;目玉[めだま]
玉ねぎ;玉[たま]ねぎ
珠玉;珠玉[しゅぎょく]
王;王[おう]
王妃;王妃[おうひ]
妃殿下;妃殿下[ひでんか]
皇太子;皇太子[こうたいし]
妃;妃[ひ]
玩具;玩具[おもちゃ]
珍;珍[ちん]
珍しい;珍[めずら]しい
珍味;珍味[ちんみ]
珍重;珍重[ちんちょう]
班;班[はん]
首班;首班[しゅはん]
班長;班長[はんちょう]
現す;現[あらわ]す
現在;現在[げんざい]
理屈;理屈[りくつ]
新聞;新聞[しんぶん]
倫理;倫理[りんり]
綱領;綱領[こうりょう]
理論;理論[りろん]
論理;論理[ろんり]
論議;論議[ろんぎ]
持論;持論[じろん]
琴;琴[こと]
瑠璃;瑠璃[るり]
瑠璃色;瑠璃色[るりいろ]
環境;環境[かんきょう]
循環;循環[じゅんかん]
璽;璽[じ]
瓦;瓦[かわら]
煉瓦;煉瓦[れんが]
瓶;瓶[びん]
花瓶;花瓶[かびん]
瓶詰め;瓶詰[びんづ]め
甘い;甘[あま]い
甘言;甘言[かんげん]
甚だ;甚[はなは]だ
甚だしい;甚[はなは]だしい
激甚;激甚[げきじん]
甚大;甚大[じんだい]
生;生[なま]
生きる;生[い]きる
生む;生[う]む
生じる;生[しょう]じる
生死;生死[せいし]
誕生日;誕生日[たんじょうび]
学生;学生[がくせい]
先生;先生[せんせい]
生涯;生涯[しょうがい]
生徒;生徒[せいと]
生活;生活[せいかつ]
畜生;畜生[ちくしょう]
弥生;弥生[やよい]
芝生;芝生[しばふ]
生協;生協[せいきょう]
一生懸命;一生懸命[いっしょうけんめい]
生活費;生活費[せいかつひ]
生涯;生涯[しょうがい]
産む;産[う]む
産地;産地[さんち]
お土産;お土産[みやげ]
特産物;特産物[とくさんぶつ]
生産;生産[せいさん]
用いる;用[もち]いる
用;用[よう]
田;田[た]
田舎;田舎[いなか]
油田;油田[ゆでん]
由;由[よし]
理由;理由[りゆう]
自由;自由[じゆう]
経由;経由[けいゆ]
甲;甲[かぶと]
甲乙;甲乙[こうおつ]
甲種;甲種[こうしゅ]
装甲;装甲[そうこう]
甲状腺;甲状腺[こうじょうせん]
申す;申[もう]す
申請;申請[しんせい]
申し訳;申し訳[もうしわけ]
申し込[こ]む;申[もう]し込[こ]む
男;男[おとこ]
男性;男性[だんせい]
長男・;長男[ちょうなん]・
次男・;次男[じなん]・
三男;三男[さんなん]
画;画[が]
漫画;漫画[まんが]
映画;映画[えいが]
画面;画面[がめん]
企画;企画[きかく]
画数;画数[かくすう]
畏まりました;畏[かしこ]まりました
畑;畑[はたけ]
田畑;田畑[たはた]
麦畑;麦畑[むぎばたけ]
留まる;留[と]まる
留める;留[と]める
留守;留守[るす]
留学;留学[りゅうがく]
畝;畝[うね]
略;略[りゃく]
略語;略語[りゃくご]
略す;略[りゃく]す
概略;概略[がいりゃく]
侵略;侵略[しんりゃく]
略奪;略奪[りゃくだつ]
番;番[ばん]
番号;番号[ばんごう]
番地;番地[ばんち]
番組;番組[ばんぐみ]
本番;本番[ほんばん]
留守番;留守番[るすばん]
順番;順番[じゅんばん]
異なる;異[こと]なる
異様;異様[いよう]
異議;異議[いぎ]
異性;異性[いせい]
異物;異物[いぶつ]
異変;異変[いへん]
異色;異色[いしょく]
異議;異議[いぎ]
会議;会議[かいぎ]
畳;畳[たたみ]
四畳半;四畳半[よじょうはん]
折り畳み;折り畳[おりたた]み
疎ら;疎[まば]ら
疎か;疎[おろ]か
過疎;過疎[かそ]
疎通;疎通[そつう]
疑う;疑[うたが]う
疑問;疑問[ぎもん]
疑念;疑念[ぎねん]
疲れる;疲[つか]れる
疲労;疲労[ひろう]
疲弊;疲弊[ひへい]
弊害;弊害[へいがい]
疾患;疾患[しっかん]
疾病;疾病[しっぺい]
疾風;疾風[しっぷう]
疾走;疾走[しっそう]
病む;病[や]む
病気;病気[びょうき]
臆病;臆病[おくびょう]
病院;病院[びょういん]
病状;病状[びょうじょう]
病癖;病癖[びょうへき]
病院;病院[びょういん]
症;症[しょう]
炎症;炎症[えんしょう]
症候;症候[しょうこう]
発症;発症[はっしょう]
症状;症状[しょうじょう]
花粉症;花粉症[かふんしょう]
痛い;痛[いた]い
痛む;痛[いた]む
苦痛;苦痛[くつう]
頭痛;頭痛[ずつう]
痩せる;痩[や]せる
痴呆;痴呆[ちほう]
愚痴;愚痴[ぐち]
痴漢;痴漢[ちかん]
癒す;癒[いや]す
治癒;治癒[ちゆ]
癖;癖[くせ]
口癖;口癖[くちぐせ]
性癖;性癖[せいへき]
病癖;病癖[びょうへき]
発揮;発揮[はっき]
指揮者;指揮者[しきしゃ]
発祥;発祥[はっしょう]
不祥事;不祥事[ふしょうじ]
"発表;"発表[はっぴょう]
発売;発売[はつばい]
発砲;発砲[はっぽう]
奮発;奮発[ふんぱつ]
発揮;発揮[はっき]
発掘;発掘[はっくつ]
啓発;啓発[けいはつ]
発祥;発祥[はっしょう]
発作;発作[ほっさ]
発射;発射[はっしゃ]
開発;開発[かいはつ]
発酵乳;発酵乳[はっこうにゅう]
発症,;発症[はっしょう],
発酵;発酵[はっこう]
発酵乳;発酵乳[はっこうにゅう]
登る;登[のぼ]る
登山;登山[とざん]
登載;登載[とうさい]
登校;登校[とうこう]
登場;登場[とうじょう]
登録;登録[とうろく]
白い;白[しろ]い
白髪;白髪[しらが]
告白;告白[こくはく]
面白い;面白[おもしろ]い
的;的[まと]
目的;目的[もくてき]
皆;皆[みな]
皆無;皆無[かいむ]
皇后;皇后[こうごう]
皇太后;皇太后[こうたいごう]
皮;皮[かわ]
皮膚;皮膚[ひふ]
皮肉;皮肉[ひにく]
皮膚;皮膚[ひふ]
皿;皿[さら]
灰皿;灰皿[はいざら]
小皿;小皿[こざら]
盆地;盆地[ぼんち]
盆踊り;盆踊[ぼんおど]り
盆栽;盆栽[ぼんさい]
益;益[えき]
利益;利益[りえき]
無益;無益[むえき]
有益;有益[ゆうえき]
盗む;盗[ぬす]む
窃盗;窃盗[せっとう]
強盗;強盗[ごうとう]
盛る;盛[も]る
盛り上がる;盛り上[もりあ]がる
盛り;盛[ざか]り
盛ん;盛[さか]ん
目盛り;目盛[めも]り
盛大;盛大[せいだい]
繁盛;繁盛[はんじょう]
監督;監督[かんとく]
監督;監督[かんとく]
監察;監察[かんさつ]
監獄;監獄[かんごく]
監理;監理[かんり]
監視;監視[かんし]
盤;盤[ばん]
基盤;基盤[きばん]
碁盤;碁盤[ごばん]
目標;目標[もくひょう]
標的;標的[ひょうてき]
標準;標準[ひょうじゅん]
盲;盲[めくら]
盲人;盲人[もうじん]
直に;直[じか]に
真っ直ぐ;真っ直[まっす]ぐ
素直;素直[すなお]
直る;直[なお]る
直接;直接[ちょくせつ]
相手;相手[あいて]
相撲;相撲[すもう]
相談;相談[そうだん]
相撲;相撲[すもう]
打撲;打撲[だぼく]
撲滅;撲滅[ぼくめつ]
相棒;相棒[あいぼう]
鉄棒;鉄棒[てつぼう]
泥棒;泥棒[どろぼう]
用心棒;用心棒[ようじんぼう]
相談;相談[そうだん]
盾;盾[たて]
矛盾;矛盾[むじゅん]
省く;省[はぶ]く
省みる;省[かえり]みる
自省;自省[じせい]
省エネ;省エネ[しょうえね]
自治省;自治省[じちしょう]
眉;眉[まゆ]
眉毛;眉毛[まゆげ]
芳眉;芳眉[ほうび]
看護;看護[かんご]
看板;看板[かんばん]
県;県[けん]
真に;真[まこと]に
真っ直ぐ;真っ直[まっす]ぐ
真夜中;真夜中[まよなか]
写真;写真[しゃしん]
真摯;真摯[しんし]
真珠;真珠[しんじゅ]
珠玉;珠玉[しゅぎょく]
眠い;眠[ねむ]い
眠る;眠[ねむ]る
眠気;眠気[ねむけ]
睡眠;睡眠[すいみん]
催眠;催眠[さいみん]
眺める;眺[なが]める
眺望;眺望[ちょうぼう]
眼;眼[め]
眼鏡;眼鏡[めがね]
眼差し;眼差[まなざ]し
眼球;眼球[がんきゅう]
着る;着[き]る
着く;着[つ]く
到着;到着[とうちゃく]
睡眠;睡眠[すいみん]
熟睡;熟睡[じゅくすい]
瞬く;瞬[またた]く
一瞬;一瞬[いっしゅん]
瞬間;瞬間[しゅんかん]
瞳;瞳[ひとみ]
瞳孔拡張;瞳孔拡張[どうこうかくちょう]
矛;矛[ほこ]
矛先;矛先[ほこさき]
矛盾;矛盾[むじゅん]
矢;矢[や]
矢印;矢印[やじるし]
知る;知[し]る
知識;知識[ちしき]
知事;知事[ちじ]
短い;短[みじか]い
短編;短編[たんぺん]
短所;短所[たんしょ]
矯正;矯正[きょうせい]
石;石[いし]
化石;化石[かせき]
磁石;磁石[じしゃく]
砂;砂[すな]
砂漠;砂漠[さばく]
砂糖;砂糖[さとう]
砂利;砂利[じゃり]
土砂;土砂[どしゃ]
砂漠;砂漠[さばく]
漠然;漠然[ばくぜん]
研ぐ;研[と]ぐ
研磨;研磨[けんま]
研究;研究[けんきゅう]
研究;研究[けんきゅう]
追究;追究[ついきゅう]
砕く;砕[くだ]く
粉砕;粉砕[ふんさい]
砲;砲[ほう]
発砲;発砲[はっぽう]
破れる;破[やぶ]れる
打破;打破[だは]
破壊;破壊[はかい]
硝酸;硝酸[しょうさん]
硫黄;硫黄[いおう]
硫酸;硫酸[りゅうさん]
硬い;硬[かた]い
硬化;硬化[こうか]
碁;碁[ご]
碁盤;碁盤[ごばん]
碑;碑[いしぶみ]
石碑;石碑[せきひ]
碑文;碑文[ひぶん]
確かめる;確[たし]かめる
確認;確認[かくにん]
磁石;磁石[じしゃく]
磁気;磁気[じき]
磨く;磨[みが]く
達磨;達磨[だるま]
研磨;研磨[けんま]
礎;礎[いしずえ]
基礎;基礎[きそ]
示す;示[しめ]す
指示;指示[しじ]
示唆;示唆[しさ]
啓示;啓示[けいじ]
祈る;祈[いの]る
祈願;祈願[きがん]
祈念;祈念[きねん]
祖父;祖父[そふ]
元祖;元祖[がんそ]
先祖;先祖[せんぞ]
祖先;祖先[そせん]
お祖父さん;お祖父[じい]さん
祝い;祝[いわ]い
祝賀;祝賀[しゅくが]
祝日;祝日[しゅくじつ]
祝電;祝電[しゅくでん]
神;神[かみ]
神話;神話[しんわ]
票;票[ひょう]
投票;投票[とうひょう]
祭り;祭[まつ]り
祭日;祭日[さいじつ]
祭礼;祭礼[さいれい]
禁じる;禁[きん]じる
禁止;禁止[きんし]
禁錮;禁錮[きんこ]
禅;禅[ぜん]
禅僧;禅僧[ぜんそう]
座禅;座禅[ざぜん]
禍根;禍根[かこん]
戦禍;戦禍[せんか]
福;福[ふく]
幸福;幸福[こうふく]
福祉;福祉[ふくし]
秀でる;秀[ひい]でる
優秀;優秀[ゆうしゅう]
私;私[わたし]
私立;私立[しりつ]
秋;秋[あき]
秋季;秋季[しゅうき]
科学;科学[かがく]
外科;外科[げか]
内科;内科[ないか]
秒;秒[びょう]
秒速;秒速[びょうそく]
秒読み;秒読[びょうよ]み
秘める;秘[ひ]める
秘密;秘密[ひみつ]
神秘;神秘[しんぴ]
租税;租税[そぜい]
租税;租税[そぜい]
税金;税金[ぜいきん]
秩序;秩序[ちつじょ]
称する;称[しょう]する
自称;自称[じしょう]
称号;称号[しょうごう]
名称;名称[めいしょう]
移す;移[うつ]す
移動;移動[いどう]
程;程[ほど]
余程;余程[よほど]
過程;過程[かてい]
程度;程度[ていど]
稚拙;稚拙[ちせつ]
巧拙;巧拙[こうせつ]
拙速;拙速[せっそく]
種;種[たね]
種類;種類[しゅるい]
甲種;甲種[こうしゅ]
種痘;種痘[しゅとう]
天然痘;天然痘[てんねんとう]
痘痕;痘痕[とうこん]
稲;稲[いね]
稲田;稲田[いなだ]
稲穂;稲穂[いなほ]
稲荷;稲荷[いなり]
水稲;水稲[すいとう]
