厳しい;厳[きび]しい
剃刀;剃刀[かみそり]
大刀;大刀[たち]
刀剣;刀剣[とうけん]
刃物;刃物[はもの]
分かる;分[わ]かる
分ける;分[わ]ける
分かつ;分[わ]かつ
分別;分別[ふんべつ]
不穏分子;不穏分子[ふおんぶんし]
一分;一分[いっぷん]
分析;分析[ぶんせき]
解析;解析[かいせき]
分泌;分泌[ぶんぴつ]
泌み泌み;泌み泌み[しみじみ]
切符;切符[きっぷ]
音符;音符[おんぷ]
終止符;終止符[しゅうしふ]
符号;符号[ふごう]
刈る;刈[か]る
刊行;刊行[かんこう]
日刊;日刊[にっかん]
新刊;新刊[しんかん]
週刊;週刊[しゅうかん]
朝刊;朝刊[ちょうかん]
刑事;刑事[けいじ]
列;列[れつ]
行列;行列[ぎょうれつ]
初めて;初[はじ]めて
最初;最初[さいしょ]
初詣で;初詣[はつもう]で
判る;判[わか]る
判断;判断[はんだん]
批判;批判[ひはん]
裁判;裁判[さいばん]
利く;利[き]く
利用;利用[りよう]
利益;利益[りえき]
到着;到着[とうちゃく]
到底;到底[とうてい]
到来;到来[とうらい]
制度;制度[せいど]
制御;制御[せいぎょ]
刷る;刷[す]る
印刷;印刷[いんさつ]
凸版印刷;凸版印刷[とっぱんいんさつ]
券;券[けん]
旅券;旅券[りょけん]
刹那;刹那[せつな]
刹子(人名);刹子[せつこ](人名)
刺す;刺[さ]す
刺身;刺身[さしみ]
刺激;刺激[しげき]
刻む;刻[きざ]む
遅刻;遅刻[ちこく]
深刻;深刻[しんこく]
彫刻;彫刻[ちょうこく]
削る;削[けず]る
削除;削除[さくじょ]
前;前[まえ]
以前;以前[いぜん]
剛;剛[つよし]
剣;剣[けん]
刀剣;刀剣[とうけん]
剣戟;剣戟[けんげき]
剣道;剣道[けんどう]
真剣;真剣[しんけん]
剥ぐ;剥[は]ぐ
剥ける;剥[む]ける
副;副[ふく]
社長;社長[しゃちょう]
割れる;割[わ]れる
割り;割[わ]り
割引券;割引券[わりびきけん]
分割;分割[ぶんかつ]
創る;創[つく]る
創意;創意[そうい]
創作;創作[そうさく]
創造;創造[そうぞう]
雇用創出;雇用創出[こようそうしゅつ]
劇;劇[げき]
喜劇;喜劇[きげき]
悲劇;悲劇[ひげき]
力;力[ちから]
威力;威力[いりょく]
自力;自力[じりき]
力士;力士[りきし]
功績;功績[こうせき]
成績;成績[せいせき]
紡績;紡績[ぼうせき]
加える;加[くわ]える
追加;追加[ついか]
加減;加減[かげん]
加算;加算[かさん]
計算;計算[けいさん]
予算;予算[よさん]
劣る;劣[おと]る
劣等感;劣等感[れっとうかん]
助ける;助[たす]ける
助かる;助[たす]かる
援助;援助[えんじょ]
補助;補助[ほじょ]
扶助;扶助[ふじょ]
努める;努[つと]める
努力;努力[どりょく]
励ます;励[はげ]ます
激励;激励[げきれい]
労る;労[いたわ]る
苦労;苦労[くろう]
効く;効[き]く
効果;効果[こうか]
効力;効力[こうりょく]
勃つ;勃[た]つ
勃起;勃起[ぼっき]
勃々;勃々[ぼつぼつ]
勅;勅[みことのり]
勇む;勇[いさ]む
勇ましい;勇[いさ]ましい
勇気;勇気[ゆうき]
勇敢;勇敢[ゆうかん]
勉強;勉強[べんきょう]
勤勉;勤勉[きんべん]
動く;動[うご]く
移動;移動[いどう]
動詞;動詞[どうし]
自動;自動[じどう]
活動;活動[かつどう]
運動;運動[うんどう]
稼動;稼動[かどう]
勘;勘[かん]
勘定;勘定[かんじょう]
勘弁;勘弁[かんべん]
勘違い;勘違[かんちが]い
勝つ;勝[か]つ
勝負;勝負[しょうぶ]
快勝;快勝[かいしょう]
優勝;優勝[ゆうしょう]
